0x0048ba,Absolute zero
0x4c2f27,Acajou
0xb0bf1a,Acid green
0x7cb9e8,Aero
0xc9ffe5,Aero blue
0xb284be,African violet
0x5d8aa8,Air Force blue (RAF)
0x00308f,Air Force blue (USAF)
0x72a0c1,Air superiority blue
0xaf002a,Alabama crimson
0xf2f0e6,Alabaster
0xf0f8ff,Alice blue
0x84de02,Alien Armpit
0xe32636,Alizarin crimson
0xc46210,Alloy orange
0xefdecd,Almond
0xe52b50,Amaranth
0x9f2b68,Amaranth deep purple
0xf19cbb,Amaranth pink
0xab274f,Amaranth purple
0xd3212d,Amaranth red
0x3b7a57,Amazon
0x00c4b0,Amazonite
0xffbf00,Fluorescent orange
0xff7e00,Amber (SAE/ECE)
0x3b3b6d,American blue
0x391802,American bronze
0x804040,American brown
0xd3af37,American gold
0x34b334,American green
0xff8b00,American orange
0xff9899,American pink
0x431c53,American purple
0xb32134,American red
0xff033e,American rose
0xcfcfcf,American silver
0x551b8c,American violet
0xf2b400,American yellow
0x9966cc,Amethyst
0xa4c639,Android green
0xf2f3f4,Anti-flash white
0xcd9575,Antique brass
0x665d1e,Antique bronze
0x915c83,Antique fuchsia
0x841b2d,Antique ruby
0xfaebd7,Antique white
0x008000,Ao (English)
0x66b447,Apple
0x8db600,Apple Green
0xfbceb1,Apricot
0x00ffff,Electric cyan
0x7fffd4,Aquamarine
0xd0ff14,Arctic lime
0x4b5320,Army green
0x3b444b,Arsenic
0x8f9779,Artichoke
0xe9d66b,Arylide yellow
0xb2beb5,Ash gray
0x87a96b,Asparagus
0x003a6c,Ateneo blue
0xff9966,Atomic tangerine
0xa52a2a,Brown (web)
0xfdee00,Aureolin
0x6e7f80,AuroMetalSaurus
0x568203,Avocado
0xff2052,Awesome
0x63775b,Axolotl
0xc39953,Aztec Gold
0x007fff,Azure
0xf0ffff,Azure mist
0xdbe9f4,Azureish white
0x89cff0,Baby blue
0xa1caf1,Baby blue eyes
0xf4c2c2,Baby pink
0xfefefa,Baby powder
0xff91af,Baker-Miller pink
0x21abcd,Ball blue
0xfae7b5,Banana Mania
0xffe135,Banana yellow
0x006a4e,Bottle green
0xe0218a,Barbie pink
0x7c0a02,Barn red
0x1dacd6,Cerulean (Crayola)
0x848482,Battleship grey
0x98777b,Bazaar
0xbcd4e6,Beau blue
0x9f8170,Beaver
0xf28e1c,Beer
0xfa6e79,Begonia
0xf5f5dc,Beige
0x2e5894,B'dazzled blue
0x9c2542,Big dip o’ruby
0xe88e5a,Big Foot Feet
0xffe4c4,Bisque
0x3d2b1f,Bistre
0x967117,Drab
0xcae00d,Bitter lemon
0xbfff00,Bitter lime
0xfe6f5e,Bittersweet
0xbf4f51,Bittersweet shimmer
0x000000,Black
0x3d0c02,Black bean
0x1b1811,Black chocolate
0x3b2f2f,Black coffee
0x54626f,Black Coral
0x253529,Black leather jacket
0x3b3c36,Black olive
0x8f5973,Blackberry
0xbfafb2,Black Shadows
0xffebcd,Blanched almond
0xa57164,Blast-off bronze
0x318ce7,Bleu de France
0xace5ee,Blue Lagoon
0xfaf0be,Blond
0x8a0303,Blood
0xd1001c,Blood orange
0x660000,Blood red
0xa41313,Blood (Animal)
0x630f0f,Blood (Organ)
0x0000ff,Blue
0x1f75fe,Blue (Crayola)
0x0093af,Blue (Munsell)
0x0087bd,Blue (NCS)
0x0018a8,Blue (Pantone)
0x333399,Blue (pigment)
0x0247fe,Blue (RYB)
0xa2a2d0,Blue Bell
0x00b9fb,Blue Bolt
0x0088dc,Blue cola
0x6699cc,Blue-gray
0x0d98ba,Blue-green
0x064e40,Blue-green (color wheel)
0x5dadec,Blue Jeans
0x553592,Blue-magenta violet
0x126180,Blue sapphire
0x8a2be2,Blue-violet
0x7366bd,Blue-violet (Crayola)
0x4d1a7f,Blue-violet (color wheel)
0x5072a7,Blue yonder
0x4f86f7,Blueberry
0x1c1cf0,Bluebonnet
0xde5d83,Blush
0x79443b,Bole
0x0095b6,Bondi blue
0xe3dac9,Bone
0xdde26a,Booger Buster
0xcc0000,Boston University Red
0x873260,Boysenberry
0x0070ff,Brandeis blue
0x87413f,Brandy
0xb5a642,Brass
0xcb4154,Brick red
0xebecf0,Bright gray
0x66ff00,Bright green
0xbf94e4,Bright lavender
0xd891ef,Bright lilac
0xc32148,Bright maroon
0x1974d2,Bright navy blue
0xff007f,Bright pink
0x08e8de,Bright turquoise
0xd19fe8,Bright ube
0xffaa1d,Bright Yellow (Crayola)
0x3399ff,Brilliant azure
0xf4bbff,Electric lavender
0xff55a3,Brilliant rose
0xfb607f,Brink pink
0x004225,British racing green
0x88540b,Bronze
0xcd7f32,Bronze
0xb08d57,Bronze (Metallic)
0x737000,Bronze Yellow
0x993300,Brown
0xaf593e,Brown (Crayola)
0x964b00,Brown (traditional)
0x6b4423,Flattery
0xaf6e4d,Brown Sugar
0x5f1933,Brown Chocolate
0x4a2c2a,Brown Coffee
0xcc9966,Brown Yellow
0x1b4d3e,English green
0xffc1cc,Bubble gum
0xe7feff,Bubbles
0x7bb661,Bud green
0xf0dc82,Buff
0x480607,Bulgarian rose
0x800020,Burgundy
0xdeb887,Burlywood
0xa17a74,Burnished Brown
0xcc5500,Burnt orange
0xe97451,Burnt sienna
0x8a3324,Burnt umber
0x24a0ed,Button Blue
0xbd33a4,Byzantine
0x702963,Byzantium
0x536872,Cadet
0x5f9ea0,Cadet blue
0xa9b2c3,Cadet blue (Crayola)
0x91a3b0,Cadet grey
0x0a1195,Cadmium blue
0x006b3c,Cadmium green
0xed872d,Cadmium orange
0xb60c26,Cadmium Purple
0xe30022,Cadmium red
0xfff600,Cadmium yellow
0x7f3e98,Cadmium violet
0xa67b5b,French beige
0x4b3621,Café noir
0x1e4d2b,Cal Poly Pomona green
0xfcffa4,Calamansi
0xa3c1ad,Cambridge Blue
0xc19a6b,Fallow
0xefbbcc,Cameo pink
0x78866b,Camouflage green
0xffff99,Canary
0xffef00,Canary yellow
0xff0800,Candy apple red
0xe4717a,Candy pink
0x00bfff,Deep sky blue
0x592720,Caput mortuum
0xffd59a,Caramel
0xc41e3a,Cardinal
0x00cc99,Caribbean green
0x960018,Carmine
0xd70040,Carmine (M&P)
0xeb4c42,Carmine pink
0xff0038,Carmine red
0xffa6c9,Carnation pink
0xb31b1b,Cornell Red
0x56a0d3,Carolina blue
0xed9121,Carrot orange
0x00563f,Castleton green
0x062a78,Catalina blue
0x703642,Catawba
0xc95a49,Cedar Chest
0x92a1cf,Ceil
0xace1af,Celadon
0x007ba7,Cerulean
0x2f847c,Celadon green
0xb2ffff,Celeste
0x4997d0,Celestial blue
0x246bce,Celtic Blue
0xde3163,Cherry
0xec3b83,Cerise pink
0x2a52be,Cerulean blue
0x001440,Cetacean blue
0x6d9bc3,Cerulean frost
0x007aa5,CG Blue
0xe03c31,CG Red
0xa0785a,Chamoisee
0xf7e7ce,Champagne
0xf1ddcf,Champagne pink
0x36454f,Charcoal
0x232b2b,Charleston green
0xd0748b,Charm
0xe68fac,Charm pink
0xdfff00,Chartreuse (traditional)
0x7fff00,Chartreuse (web)
0xffa600,Cheese
0xffb7c5,Cherry blossom pink
0x954535,Chestnut
0xde6fa1,China pink
0xa8516e,China rose
0x141414,Chinese black
0x365194,Christmas blue
0xcd8032,Chinese bronze
0xab381f,Chinese brown
0xd0db61,Chinese green
0xcc9900,Chinese gold
0xf37042,Chinese orange
0xde70a1,Chinese pink
0x720b98,Chinese purple
0xcd071e,Chinese red
0xaa381e,Chinese red
0xcccccc,Chinese silver
0x856088,Chinese violet
0xe2e5de,Chinese white
0xffb200,Chinese yellow
0x4aff00,Chlorophyll green
0x3f000f,Chocolate Brown
0x58111a,Chocolate Cosmos
0x3c1421,Chocolate Kisses
0x7b3f00,Chocolate (traditional)
0xd2691e,Cocoa brown
0x2a8fbd,Christmas blue
0x5d2b2c,Christmas brown
0x4c1f02,Christmas brown
0x3c8d0d,Christmas green
0x007502,Christmas green
0xcaa906,Christmas gold
0xff6600,Christmas orange
0xd56c2b,Christmas orange
0xffcccb,Christmas pink
0xe34285,Christmas pink
0x663398,Christmas purple
0x4d084b,Christmas purple
0xaa0114,Christmas red
0xb01b2e,Christmas red
0xe1dfe0,Christmas silver
0xffcc00,Christmas yellow
0xfef200,Christmas yellow
0xffa700,Chrome yellow
0x98817b,Cinereous
0xe34234,Cinnabar
0xcd607e,Cinnamon Satin
0xe4d00a,Citrine
0x933709,Citrine Brown
0x9fa91f,Citron
0x7f1734,Claret
0xfbcce7,Classic rose
0x0047ab,Cobalt Blue
0x965a3e,Coconut
0x6f4e37,Coffee
0x3c3024,Cola
0xc4d8e2,Columbia Blue
0xffffcc,Conditioner
0xf88379,Coral pink
0x002e63,Cool Black
0x8c92ac,Cool grey
0xeee0b1,Cookies and cream
0xb87333,Copper
0xda8a67,Copper (Crayola)
0xad6f69,Copper penny
0xcb6d51,Copper red
0x996666,Copper rose
0xff3800,Coquelicot
0xff7f50,Coral
0xff4040,Coral red
0xfd7c6e,Coral Reef
0x893f45,Cordovan
0xfbec5d,Corn
0x6495ed,Cornflower blue
