0xacc2d9,cloudy blue
0x56ae57,dark pastel green
0xb2996e,dust
0xa8ff04,electric lime
0x69d84f,fresh green
0x894585,light eggplant
0x70b23f,nasty green
0xd4ffff,really light blue
0x65ab7c,tea
0x952e8f,warm purple
0xfcfc81,yellowish tan
0xa5a391,cement
0x388004,dark grass green
0x4c9085,dusty teal
0x5e9b8a,grey teal
0xefb435,macaroni and cheese
0xd99b82,pinkish tan
0x0a5f38,spruce
0x0c06f7,strong blue
0x61de2a,toxic green
0x3778bf,windows blue
0x2242c7,blue blue
0x533cc6,blue with a hint of purple
0x9bb53c,booger
0x05ffa6,bright sea green
0x1f6357,dark green blue
0x017374,deep turquoise
0x0cb577,green teal
0xff0789,strong pink
0xafa88b,bland
0x08787f,deep aqua
0xdd85d7,lavender pink
0xa6c875,light moss green
0xa7ffb5,light seafoam green
0xc2b709,olive yellow
0xe78ea5,pig pink
0x966ebd,deep lilac
0xccad60,desert
0xac86a8,dusty lavender
0x947e94,purpley grey
0x983fb2,purply
0xff63e9,candy pink
0xb2fba5,light pastel green
0x63b365,boring green
0x8ee53f,kiwi green
0xb7e1a1,light grey green
0xff6f52,orange pink
0xbdf8a3,tea green
0xd3b683,very light brown
0xfffcc4,egg shell
0x430541,eggplant purple
0xffb2d0,powder pink
0x997570,reddish grey
0xad900d,baby shit brown
0xc48efd,liliac
0x507b9c,stormy blue
0x7d7103,ugly brown
0xfffd78,custard
0xda467d,darkish pink
0x410200,deep brown
0xc9d179,greenish beige
0xfffa86,manilla
0x5684ae,off blue
0x6b7c85,battleship grey
0x6f6c0a,browny green
0x7e4071,bruise
0x009337,kelley green
0xd0e429,sickly yellow
0xfff917,sunny yellow
0x1d5dec,azul
0x054907,darkgreen
0xb5ce08,green/yellow
0x8fb67b,lichen
0xc8ffb0,light light green
0xfdde6c,pale gold
0xffdf22,sun yellow
0xa9be70,tan green
0x6832e3,burple
0xfdb147,butterscotch
0xc7ac7d,toupe
0xfff39a,dark cream
0x850e04,indian red
0xefc0fe,light lavendar
0x40fd14,poison green
0xb6c406,baby puke green
0x9dff00,bright yellow green
0x3c4142,charcoal grey
0xf2ab15,squash
0xac4f06,cinnamon
0xc4fe82,light pea green
0x2cfa1f,radioactive green
0x9a6200,raw sienna
0xca9bf7,baby purple
0x875f42,cocoa
0x3a2efe,light royal blue
0xfd8d49,orangeish
0x8b3103,rust brown
0xcba560,sand brown
0x698339,swamp
0x0cdc73,tealish green
0xb75203,burnt siena
0x7f8f4e,camo
0x26538d,dusk blue
0x63a950,fern
0xc87f89,old rose
0xb1fc99,pale light green
0xff9a8a,peachy pink
0xf6688e,rosy pink
0x76fda8,light bluish green
0x53fe5c,light bright green
0x4efd54,light neon green
0xa0febf,light seafoam
0x7bf2da,tiffany blue
0xbcf5a6,washed out green
0xca6b02,browny orange
0x107ab0,nice blue
0x2138ab,sapphire
0x719f91,greyish teal
0xfdb915,orangey yellow
0xfefcaf,parchment
0xfcf679,straw
0x1d0200,very dark brown
0xcb6843,terracota
0x31668a,ugly blue
0x247afd,clear blue
0xffffb6,creme
0x90fda9,foam green
0x86a17d,grey/green
0xfddc5c,light gold
